pathway,pval,padj,log2err,ES,NES,size,leadingEdge
1,0.039129566779796364,0.1304318892659879,0.10216770010846951,-0.16497479568894588,-1.6304112642410467,78,
10,0.3411694982220466,0.5303073995040083,0.03158189181426592,0.21739130304129717,1.0872084417196466,18,
12,0.3712151796528058,0.5303073995040083,0.030396960103078893,-0.19912790697674418,-1.0573668049935299,20,
2,0.027172827172827173,0.1304318892659879,0.12309533085096205,-0.13913354837521566,-1.7082950865443312,137,
3,0.09966581482209554,0.19933162964419107,0.062459499010238485,0.30909090860239025,1.424666831449854,15,
4,0.49463454140514274,0.6182931767564284,0.025377558378818346,0.09165756126946445,0.9531761565764761,89,
5,0.004965243296921549,0.049652432969215496,0.291090917251384,0.24205675340522098,2.066714379014805,57,
6,0.06693147964250248,0.1673286991062562,0.0773124512019339,0.17694682557388097,1.5107967184966655,57,
8,0.8147547628698825,0.8147547628698825,0.017598050710178528,0.054708124812120146,0.7312132806037764,172,
9,0.7555381297784748,0.8147547628698825,0.01822080687069813,0.12094395210821984,0.7688992587131064,30,
